location_id,location_code,location_name_short_en
2,AGO,Angola
17,BDI,Burundi
19,BEN,Benin
21,BFA,Burkina Faso
37,BWA,Botswana
38,CAF,Central African Republic
44,CIV,C̫te d'Ivoire
45,CMR,Cameroon
46,COD,Congo (Democratic Republic of the)
47,COG,Congo
50,COM,Comoros
51,CPV,Cabo Verde
62,DJI,Djibouti
66,DZA,Algeria
68,EGY,Egypt
69,ERI,Eritrea
73,ETH,Ethiopia
80,GAB,Gabon
83,GHA,Ghana
85,GIN,Guinea
87,GMB,Gambia
88,GNB,Guinea-Bissau
116,KEN,Kenya
125,LBR,Liberia
126,LBY,Libya
129,LSO,Lesotho
134,MAR,Morocco
136,MDG,Madagascar
141,MLI,Mali
147,MOZ,Mozambique
148,MRT,Mauritania
151,MUS,Mauritius
152,MWI,Malawi
155,NAM,Namibia
157,NER,Niger
159,NGA,Nigeria
187,RWA,Rwanda
190,SDN,Sudan
191,SEN,Senegal
196,SLE,Sierra Leone
199,SOM,Somalia
202,SSD,South Sudan
203,STP,Sao Tome and Principe
209,SWZ,Eswatini
211,SYC,Seychelles
214,TCD,Chad
215,TGO,Togo
223,TUN,Tunisia
226,TZA,Tanzania
227,UGA,Uganda
246,ZAF,South Africa
247,ZMB,Zambia
248,ZWE,Zimbabwe
