shortcut,category
APC , Air pollution control
CRE , Cleaner or more resource efficient technologies and products
EPP , Environmentally preferable products based on end use or disposal characteristics
HEM , Heat and energy management
MON ," Environmental monitoring, analysis and assessment equipment"
NRP , Natural resources protection
NVA , Noise and vibration abatement
REP , Renewable energy plant
SWM , Management of solid and hazardous waste and recycling systems
SWR , Clean up or remediation of soil and water
WAT , Waste water management and potable water treatment.